Sentence,Action,Room,Object
express every detail beverage from the bath,describe,bathroom,beverage
what are you tell corn from the canteen,question,kitchen,corn
question you tell apple by the my room,question,bedroom,apple
clean up the object in the parlor,place,living room,unknown
head by the water,go,unknown,water
describe what's there carrots in the bath,describe,bathroom,carrots
question are the soda inside the kitchen,question,kitchen,soda
report what's there soda by the bedroom,describe,bedroom,soda
could you do crackers inside the bath,question,bathroom,crackers
find some tomato from the canteen,get,kitchen,tomato
tidy up the banana,place,unknown,banana
put back a banana,place,unknown,banana
get a soda from the my room,get,bedroom,soda
proceed toward the beverage close to the parlor,go,living room,beverage
pick up some corn close to the bathroom,get,bathroom,corn
proceed toward the banana around the bathroom,go,bathroom,banana
identify the orange,get,unknown,orange
tell every detail item from the sitting room,describe,living room,unknown
place a tomato near the bath,place,bathroom,tomato
where you do item in the bath,question,bathroom,unknown
navigate toward the apple,go,unknown,apple
clear the beverage,place,unknown,beverage
throw out the tomato by the bathroom,place,bathroom,tomato
throw away a crackers close to the kitchen,place,kitchen,crackers
clean up the beverage by the kitchen,place,kitchen,beverage
take a water inside the living room,place,living room,water
could is the apple,question,unknown,apple
take a thing inside the bath,place,bathroom,unknown
describe what you see beverage inside the bedroom,describe,bedroom,beverage
tidy the cookies by the bedroom,place,bedroom,cookies
tell in details chips close to the bath,describe,bathroom,chips
present everything you see cookies from the pantry,describe,kitchen,cookies
clean up an orange inside the my room,place,bedroom,orange
answer you do apple,question,unknown,apple
grab the crackers inside the pantry,get,kitchen,crackers
go by the cookies,go,unknown,cookies
would are the cookies in the kitchen,question,kitchen,cookies
answer you tell banana,question,unknown,banana
navigate over to the canteen,go,kitchen,unknown
go over by the orange,go,unknown,orange
how is the beverage in the bathroom,question,bathroom,beverage
retrieve the chips close to the living room,get,living room,chips
what is are the tomato,question,unknown,tomato
express in details carrots from the living room,describe,living room,carrots
report everything you see cookies in the bathroom,describe,bathroom,cookies
where is the object around the bath,question,bathroom,unknown
go to the orange by the bath,go,bathroom,orange
locate the object from the bath,get,bathroom,unknown
what is are the cookies around the bath,question,bathroom,cookies
answer are the thing by the bath,question,bathroom,unknown
would is the tuna,question,unknown,tuna
fetch a beverage close to the bedroom,get,bedroom,beverage
navigate to the banana near the kitchen,go,kitchen,banana
clean up the apple inside the kitchen,place,kitchen,apple
clear the beverage near the my room,place,bedroom,beverage
specify in details beverage,describe,unknown,beverage
proceed by the orange in the living room,go,living room,orange
where are the water from the bedroom,question,bedroom,water
locate some crackers near the parlor,get,living room,crackers
get the apple,get,unknown,apple
put back the object inside the canteen,place,kitchen,unknown
what is you do thing from the living room,question,living room,unknown
explain every detail beverage close to the bathroom,describe,bathroom,beverage
get a vegetables close to the my room,get,bedroom,vegetables
navigate to the orange,go,unknown,orange
identify a thing around the my room,get,bedroom,unknown
put away the banana close to the bedroom,place,bedroom,banana
how you do cookies in the bathroom,question,bathroom,cookies
drive towards the sitting room,go,living room,unknown
clear away the crackers,place,unknown,crackers
present everything you see orange inside the living room,describe,living room,orange
retrieve a beverage in the bathroom,get,bathroom,beverage
navigate to the chips,go,unknown,chips
head near the soda by the bathroom,go,bathroom,soda
would is the water around the kitchen,question,kitchen,water
grab a banana by the kitchen,get,kitchen,banana
what are is the carrots around the living room,question,living room,carrots
proceed to the soda inside the bathroom,go,bathroom,soda
store the chips,place,unknown,chips
get some water by the bedroom,get,bedroom,water
throw out a banana close to the sitting room,place,living room,banana
head over by the tomato inside the bedroom,go,bedroom,tomato
clear away the apple around the my room,place,bedroom,apple
locate the water close to the bath,get,bathroom,water
throw out the banana inside the living room,place,living room,banana
describe what you see peas near the bathroom,describe,bathroom,peas
tidy the vegetables,place,unknown,vegetables
pick up the object around the my room,get,bedroom,unknown
clean up the tuna close to the bath,place,bathroom,tuna
express everything you see chips near the kitchen,describe,kitchen,chips
throw out the water,place,unknown,water
describe what you see chips from the pantry,describe,kitchen,chips
where you do water inside the bedroom,question,bedroom,water
put away an object close to the bath,place,bathroom,unknown
clear away the item close to the bath,place,bathroom,unknown
tell every detail orange around the canteen,describe,kitchen,orange
report what's there corn in the pantry,describe,kitchen,corn
fetch me a carrots inside the pantry,get,kitchen,carrots
report everything you see soda inside the bathroom,describe,bathroom,soda
express what you see tomato,describe,unknown,tomato
explain every detail soda by the living room,describe,living room,soda
clean the peas inside the sitting room,place,living room,peas
fetch the soda from the bathroom,get,bathroom,soda
would is the item from the bathroom,question,bathroom,unknown
go toward the crackers around the my room,go,bedroom,crackers
search for the vegetables from the my room,get,bedroom,vegetables
drive towards the banana,go,unknown,banana
place the cookies by the living room,place,living room,cookies
identify an orange around the parlor,get,living room,orange
tidy the thing by the parlor,place,living room,unknown
pick up the crackers near the pantry,get,kitchen,crackers
could is the vegetables,question,unknown,vegetables
would are the object inside the sitting room,question,living room,unknown
where you do item in the my room,question,bedroom,unknown
put away a vegetables near the bedroom,place,bedroom,vegetables
throw away the corn in the living room,place,living room,corn
tell what you see crackers,describe,unknown,crackers
express every detail chips in the bathroom,describe,bathroom,chips
go to the apple from the kitchen,go,kitchen,apple
tell every detail orange in the bedroom,describe,bedroom,orange
locate some banana close to the pantry,get,kitchen,banana
go near the vegetables inside the parlor,go,living room,vegetables
present what's there thing around the my room,describe,bedroom,unknown
navigate over to the corn,go,unknown,corn
explain what you see corn in the kitchen,describe,kitchen,corn
drive by the beverage,go,unknown,beverage
tidy up the orange by the bedroom,place,bedroom,orange
drive towards the apple around the bathroom,go,bathroom,apple
tell in details orange,describe,unknown,orange
tell everything you see orange close to the living room,describe,living room,orange
take the beverage from the kitchen,place,kitchen,beverage
how you do chips from the living room,question,living room,chips
tell what's there soda close to the pantry,describe,kitchen,soda
how is the peas,question,unknown,peas
clear away a chips in the bathroom,place,bathroom,chips
could you do tuna around the kitchen,question,kitchen,tuna
get the tuna from the pantry,get,kitchen,tuna
specify every detail peas,describe,unknown,peas
tell everything you see soda near the bedroom,describe,bedroom,soda
grab the banana by the bedroom,get,bedroom,banana
question is the orange from the bath,question,bathroom,orange
express everything you see soda from the bath,describe,bathroom,soda
tidy up a soda around the sitting room,place,living room,soda
what are is the water inside the pantry,question,kitchen,water
take the corn near the bath,place,bathroom,corn
locate the banana around the bathroom,get,bathroom,banana
store the thing close to the living room,place,living room,unknown
describe what's there beverage,describe,unknown,beverage
identify the apple close to the pantry,get,kitchen,apple
put back an object close to the bedroom,place,bedroom,unknown
clear away a soda near the pantry,place,kitchen,soda
tell what you see beverage,describe,unknown,beverage
would are the vegetables,question,unknown,vegetables
head to the cookies near the bedroom,go,bedroom,cookies
answer is the orange,question,unknown,orange
put away a cookies,place,unknown,cookies
what are you do thing by the my room,question,bedroom,unknown
get a banana inside the bath,get,bathroom,banana
would you tell peas,question,unknown,peas
throw out the banana inside the my room,place,bedroom,banana
clear the beverage,place,unknown,beverage
report what you see thing around the bedroom,describe,bedroom,unknown
report everything you see banana,describe,unknown,banana
present what you see orange in the sitting room,describe,living room,orange
express in details carrots,describe,unknown,carrots
move over by the corn by the canteen,go,kitchen,corn
put away the banana inside the bedroom,place,bedroom,banana
how is the cookies,question,unknown,cookies
tell in details tuna near the sitting room,describe,living room,tuna
could you do object inside the bedroom,question,bedroom,unknown
move over by the water around the living room,go,living room,water
tell everything you see banana close to the kitchen,describe,kitchen,banana
grab me the peas by the bedroom,get,bedroom,peas
go by the parlor,go,living room,unknown
tell in details vegetables by the parlor,describe,living room,vegetables
search for a banana from the bedroom,get,bedroom,banana
go toward the orange in the living room,go,living room,orange
drive toward the peas in the pantry,go,kitchen,peas
store an object close to the bathroom,place,bathroom,unknown
explain in details object from the bedroom,describe,bedroom,unknown
specify everything you see beverage around the pantry,describe,kitchen,beverage
look for the peas by the bath,get,bathroom,peas
explain everything you see beverage close to the bedroom,describe,bedroom,beverage
what is you do chips in the pantry,question,kitchen,chips
get the corn from the pantry,get,kitchen,corn
store a water close to the bathroom,place,bathroom,water
answer you tell crackers,question,unknown,crackers
report what's there item near the sitting room,describe,living room,unknown
bring me a beverage,get,unknown,beverage
report what you see apple near the bedroom,describe,bedroom,apple
retrieve the banana from the parlor,get,living room,banana
express every detail crackers from the my room,describe,bedroom,crackers
search for the crackers close to the bedroom,get,bedroom,crackers
where are the chips near the bedroom,question,bedroom,chips
express every detail tuna,describe,unknown,tuna
find me the beverage around the kitchen,get,kitchen,beverage
pick up a tomato by the canteen,get,kitchen,tomato
locate the vegetables in the bath,get,bathroom,vegetables
grab me the banana inside the parlor,get,living room,banana
specify every detail orange from the canteen,describe,kitchen,orange
find me a tuna around the canteen,get,kitchen,tuna
how you do peas close to the pantry,question,kitchen,peas
how you do cookies near the my room,question,bedroom,cookies
drive over by the my room,go,bedroom,unknown
get a beverage from the kitchen,get,kitchen,beverage
present everything you see tuna in the my room,describe,bedroom,tuna
throw away a beverage by the my room,place,bedroom,beverage
get an item by the living room,get,living room,unknown
grab me a tuna inside the canteen,get,kitchen,tuna
would is the water close to the bathroom,question,bathroom,water
describe every detail soda,describe,unknown,soda
drive toward the apple inside the sitting room,go,living room,apple
would are the item close to the my room,question,bedroom,unknown
how you tell apple by the bedroom,question,bedroom,apple
put back the thing near the my room,place,bedroom,unknown
specify every detail crackers,describe,unknown,crackers
how you tell apple near the bedroom,question,bedroom,apple
take a soda around the sitting room,place,living room,soda
store the beverage close to the bath,place,bathroom,beverage
get me a crackers from the bath,get,bathroom,crackers
what are is the vegetables close to the canteen,question,kitchen,vegetables
fetch a soda around the pantry,get,kitchen,soda
express what's there crackers inside the bedroom,describe,bedroom,crackers
answer is the chips,question,unknown,chips
bring me the chips close to the living room,get,living room,chips
clean a soda close to the bedroom,place,bedroom,soda
specify every detail chips by the pantry,describe,kitchen,chips
find me some chips,get,unknown,chips
report what's there apple close to the parlor,describe,living room,apple
where are the thing close to the bedroom,question,bedroom,unknown
go towards the soda,go,unknown,soda
find the banana near the sitting room,get,living room,banana
throw away the banana,place,unknown,banana
how you tell corn,question,unknown,corn
head towards the vegetables,go,unknown,vegetables
locate some crackers,get,unknown,crackers
head by the beverage inside the bath,go,bathroom,beverage
clean up the crackers in the bathroom,place,bathroom,crackers
get some crackers,get,unknown,crackers
move to the cookies in the pantry,go,kitchen,cookies
explain what you see thing in the kitchen,describe,kitchen,unknown
fetch me a cookies around the bathroom,get,bathroom,cookies
report in details crackers inside the bedroom,describe,bedroom,crackers
express in details water,describe,unknown,water
proceed by the beverage around the pantry,go,kitchen,beverage
explain what's there soda near the canteen,describe,kitchen,soda
take a peas close to the kitchen,place,kitchen,peas
drive toward the my room,go,bedroom,unknown
could is the apple in the living room,question,living room,apple
navigate toward the corn by the pantry,go,kitchen,corn
head toward the beverage near the sitting room,go,living room,beverage
present everything you see vegetables inside the bathroom,describe,bathroom,vegetables
clean up the vegetables inside the bathroom,place,bathroom,vegetables
identify a beverage inside the kitchen,get,kitchen,beverage
express everything you see apple from the sitting room,describe,living room,apple
place an object around the bathroom,place,bathroom,unknown
get me the object in the bedroom,get,bedroom,unknown
specify what's there cookies close to the parlor,describe,living room,cookies
find me a peas by the bedroom,get,bedroom,peas
tell everything you see tomato inside the parlor,describe,living room,tomato
put away a banana in the living room,place,living room,banana
what is is the tuna inside the my room,question,bedroom,tuna
pick up the soda,get,unknown,soda
clean the banana in the bedroom,place,bedroom,banana
throw out a cookies from the bathroom,place,bathroom,cookies
go by the crackers near the living room,go,living room,crackers
clear the carrots in the bath,place,bathroom,carrots
navigate over to the my room,go,bedroom,unknown
proceed by the canteen,go,kitchen,unknown
put away the thing near the canteen,place,kitchen,unknown
explain in details soda around the my room,describe,bedroom,soda
move over to the crackers,go,unknown,crackers
express what you see crackers in the sitting room,describe,living room,crackers
head over by the beverage inside the bath,go,bathroom,beverage
question is the beverage around the kitchen,question,kitchen,beverage
report every detail banana close to the canteen,describe,kitchen,banana
place the soda by the parlor,place,living room,soda
clean an orange,place,unknown,orange
throw out a chips inside the bathroom,place,bathroom,chips
tell what's there water in the my room,describe,bedroom,water
navigate near the soda inside the bedroom,go,bedroom,soda
could you do banana close to the living room,question,living room,banana
put away a thing in the my room,place,bedroom,unknown
what are you do soda inside the pantry,question,kitchen,soda
navigate over by the orange by the sitting room,go,living room,orange
fetch a crackers inside the my room,get,bedroom,crackers
head near the orange around the parlor,go,living room,orange
look for the beverage inside the kitchen,get,kitchen,beverage
express every detail beverage around the my room,describe,bedroom,beverage
get the chips,get,unknown,chips
take the crackers close to the parlor,place,living room,crackers
what are you tell carrots,question,unknown,carrots
question are the peas close to the parlor,question,living room,peas
get some orange close to the canteen,get,kitchen,orange
go towards the soda inside the bath,go,bathroom,soda
specify every detail thing close to the kitchen,describe,kitchen,unknown
fetch me a banana by the bedroom,get,bedroom,banana
clean up the item from the bath,place,bathroom,unknown
look for some soda in the pantry,get,kitchen,soda
clean the apple close to the bathroom,place,bathroom,apple
put away a vegetables inside the living room,place,living room,vegetables
describe what's there tomato,describe,unknown,tomato
identify an orange by the parlor,get,living room,orange
get some orange from the bathroom,get,bathroom,orange
tell what you see crackers in the bedroom,describe,bedroom,crackers
specify everything you see banana around the canteen,describe,kitchen,banana
head over to the corn close to the parlor,go,living room,corn
navigate over to the soda,go,unknown,soda
would you do water inside the kitchen,question,kitchen,water
clean an apple inside the my room,place,bedroom,apple
how are the peas in the pantry,question,kitchen,peas
grab me the peas,get,unknown,peas
clear a tuna in the pantry,place,kitchen,tuna
navigate over to the banana near the bedroom,go,bedroom,banana
pick up a carrots,get,unknown,carrots
express what's there crackers close to the sitting room,describe,living room,crackers
get the orange near the pantry,get,kitchen,orange
what are you do apple by the parlor,question,living room,apple
how is the item around the living room,question,living room,unknown
present everything you see item by the living room,describe,living room,unknown
fetch me the banana near the bathroom,get,bathroom,banana
present every detail tuna,describe,unknown,tuna
look for some tomato inside the bathroom,get,bathroom,tomato
proceed to the bathroom,go,bathroom,unknown
throw away the cookies,place,unknown,cookies
bring me the soda near the bedroom,get,bedroom,soda
locate the water around the pantry,get,kitchen,water
move over by the banana inside the bedroom,go,bedroom,banana
specify what's there apple inside the bath,describe,bathroom,apple
describe what you see water close to the living room,describe,living room,water
where you tell apple around the sitting room,question,living room,apple
navigate toward the banana near the canteen,go,kitchen,banana
go toward the kitchen,go,kitchen,unknown
navigate towards the orange from the kitchen,go,kitchen,orange
locate the crackers in the my room,get,bedroom,crackers
go over to the vegetables inside the living room,go,living room,vegetables
question is the object around the pantry,question,kitchen,unknown
describe every detail apple,describe,unknown,apple
store the peas by the living room,place,living room,peas
bring a soda around the sitting room,get,living room,soda
throw away a crackers from the my room,place,bedroom,crackers
what is you tell apple from the parlor,question,living room,apple
get me a chips near the bath,get,bathroom,chips
go near the cookies close to the kitchen,go,kitchen,cookies
drive over by the orange near the parlor,go,living room,orange
question you do beverage,question,unknown,beverage
drive over by the apple in the kitchen,go,kitchen,apple
would you do crackers by the bedroom,question,bedroom,crackers
answer are the crackers near the sitting room,question,living room,crackers
where you tell corn from the living room,question,living room,corn
store a corn from the bedroom,place,bedroom,corn
could is the thing by the living room,question,living room,unknown
put back an apple close to the bathroom,place,bathroom,apple
specify in details cookies by the sitting room,describe,living room,cookies
answer you do item near the pantry,question,kitchen,unknown
describe everything you see crackers,describe,unknown,crackers
fetch me the chips by the bath,get,bathroom,chips
retrieve the banana,get,unknown,banana
what is is the cookies near the my room,question,bedroom,cookies
locate some chips in the sitting room,get,living room,chips
store the orange from the parlor,place,living room,orange
drive to the bedroom,go,bedroom,unknown
describe in details item around the bath,describe,bathroom,unknown
fetch me the vegetables near the bedroom,get,bedroom,vegetables
answer are the tuna near the canteen,question,kitchen,tuna
tell every detail soda inside the bath,describe,bathroom,soda
what is are the thing close to the bath,question,bathroom,unknown
fetch a water inside the parlor,get,living room,water
answer you do chips inside the bedroom,question,bedroom,chips
go by the beverage from the bathroom,go,bathroom,beverage
explain what you see item by the living room,describe,living room,unknown
throw away an object inside the bedroom,place,bedroom,unknown
fetch me the water,get,unknown,water
tidy a carrots inside the my room,place,bedroom,carrots
clean up the chips from the canteen,place,kitchen,chips
look for a crackers by the bath,get,bathroom,crackers
express in details object in the pantry,describe,kitchen,unknown
identify the corn,get,unknown,corn
put away an item close to the canteen,place,kitchen,unknown
search for the crackers,get,unknown,crackers
grab the crackers in the parlor,get,living room,crackers
describe in details water inside the bathroom,describe,bathroom,water
grab me the chips,get,unknown,chips
find the cookies near the bedroom,get,bedroom,cookies
answer you tell cookies,question,unknown,cookies
put back the tomato from the my room,place,bedroom,tomato
describe in details soda,describe,unknown,soda
answer is the object from the living room,question,living room,unknown
drive over by the carrots near the bedroom,go,bedroom,carrots
specify every detail chips,describe,unknown,chips
bring me a soda,get,unknown,soda
proceed toward the soda in the bath,go,bathroom,soda
place a crackers inside the kitchen,place,kitchen,crackers
what is are the apple,question,unknown,apple
throw away the cookies inside the bathroom,place,bathroom,cookies
find some cookies around the sitting room,get,living room,cookies
specify what you see corn around the sitting room,describe,living room,corn
explain what you see water,describe,unknown,water
could is the thing by the living room,question,living room,unknown
look for an orange in the bedroom,get,bedroom,orange
report what's there item in the kitchen,describe,kitchen,unknown
go over by the bath,go,bathroom,unknown
what are is the thing close to the bedroom,question,bedroom,unknown
clear away a crackers inside the bath,place,bathroom,crackers
move over by the vegetables by the living room,go,living room,vegetables
drive over to the banana around the bath,go,bathroom,banana
clean the cookies,place,unknown,cookies
put back the soda around the bedroom,place,bedroom,soda
clear away a chips in the kitchen,place,kitchen,chips
go near the water from the parlor,go,living room,water
move towards the cookies in the bath,go,bathroom,cookies
grab some object in the bedroom,get,bedroom,unknown
store a chips inside the kitchen,place,kitchen,chips
proceed by the carrots by the bath,go,bathroom,carrots
find some item near the living room,get,living room,unknown
pick up a soda close to the kitchen,get,kitchen,soda
tidy up the peas near the pantry,place,kitchen,peas
grab some chips,get,unknown,chips
put back a cookies near the canteen,place,kitchen,cookies
explain everything you see apple around the bathroom,describe,bathroom,apple
would you do water,question,unknown,water
store a cookies,place,unknown,cookies
tell everything you see chips from the bedroom,describe,bedroom,chips
where you tell object by the bathroom,question,bathroom,unknown
how you tell chips close to the canteen,question,kitchen,chips
fetch some chips around the parlor,get,living room,chips
throw out an orange near the kitchen,place,kitchen,orange
present what you see water,describe,unknown,water
drive near the apple in the bath,go,bathroom,apple
go toward the beverage near the pantry,go,kitchen,beverage
put away the water from the parlor,place,living room,water
where are the object in the bath,question,bathroom,unknown
drive towards the beverage around the kitchen,go,kitchen,beverage
what are are the item inside the living room,question,living room,unknown
search for a soda,get,unknown,soda
identify some tuna near the pantry,get,kitchen,tuna
head over by the my room,go,bedroom,unknown
express every detail banana from the bathroom,describe,bathroom,banana
drive over to the cookies around the sitting room,go,living room,cookies
grab the cookies,get,unknown,cookies
what is is the banana,question,unknown,banana
tidy up the orange from the bathroom,place,bathroom,orange
put away an orange around the sitting room,place,living room,orange
put away a chips close to the bedroom,place,bedroom,chips
move over to the crackers,go,unknown,crackers
would you tell soda near the sitting room,question,living room,soda
proceed toward the vegetables close to the pantry,go,kitchen,vegetables
move over by the crackers in the living room,go,living room,crackers
tell what's there orange,describe,unknown,orange
head toward the tomato,go,unknown,tomato
describe what's there cookies,describe,unknown,cookies
grab a peas inside the pantry,get,kitchen,peas
grab some chips by the living room,get,living room,chips
go to the chips inside the sitting room,go,living room,chips
what is you do orange in the bathroom,question,bathroom,orange
tidy the cookies near the kitchen,place,kitchen,cookies
navigate toward the water from the bedroom,go,bedroom,water
describe every detail beverage around the living room,describe,living room,beverage
store the object by the canteen,place,kitchen,unknown
express in details crackers close to the parlor,describe,living room,crackers
find some crackers around the sitting room,get,living room,crackers
throw away the soda,place,unknown,soda
drive toward the apple around the living room,go,living room,apple
move towards the orange inside the kitchen,go,kitchen,orange
go towards the orange close to the living room,go,living room,orange
clear the crackers,place,unknown,crackers
throw away the item around the bedroom,place,bedroom,unknown
how are the chips from the sitting room,question,living room,chips
would is the vegetables from the bedroom,question,bedroom,vegetables
look for the banana inside the pantry,get,kitchen,banana
describe every detail chips from the bathroom,describe,bathroom,chips
drive by the vegetables in the parlor,go,living room,vegetables
what is you tell item in the sitting room,question,living room,unknown
go over to the cookies from the living room,go,living room,cookies
move by the soda near the bedroom,go,bedroom,soda
navigate toward the water inside the living room,go,living room,water
report everything you see chips inside the my room,describe,bedroom,chips
navigate to the water in the bedroom,go,bedroom,water
find me the object inside the parlor,get,living room,unknown
where you do beverage inside the bedroom,question,bedroom,beverage
bring me the object around the living room,get,living room,unknown
drive toward the orange from the my room,go,bedroom,orange
head over to the peas,go,unknown,peas
locate some soda,get,unknown,soda
identify a tuna near the bedroom,get,bedroom,tuna
explain what you see tomato in the my room,describe,bedroom,tomato
place an apple inside the bathroom,place,bathroom,apple
could is the orange from the bathroom,question,bathroom,orange
navigate toward the water by the living room,go,living room,water
take a crackers inside the living room,place,living room,crackers
what is you do water in the parlor,question,living room,water
search for a thing from the bedroom,get,bedroom,unknown
put back the crackers in the bath,place,bathroom,crackers
take an orange by the sitting room,place,living room,orange
put away the corn by the bathroom,place,bathroom,corn
pick up the chips,get,unknown,chips
specify what's there cookies,describe,unknown,cookies
what are are the banana by the sitting room,question,living room,banana
move to the bathroom,go,bathroom,unknown
bring me the beverage around the kitchen,get,kitchen,beverage
navigate to the banana around the bedroom,go,bedroom,banana
what is are the peas in the bath,question,bathroom,peas
clear the soda in the sitting room,place,living room,soda
what is you do banana near the sitting room,question,living room,banana
find the cookies by the pantry,get,kitchen,cookies
could you do soda in the parlor,question,living room,soda
tidy up the apple close to the bedroom,place,bedroom,apple
specify what's there soda by the bathroom,describe,bathroom,soda
what are are the peas inside the bathroom,question,bathroom,peas
could are the soda from the bedroom,question,bedroom,soda
what is you tell water inside the bathroom,question,bathroom,water
head toward the water close to the parlor,go,living room,water
what is are the tomato in the bedroom,question,bedroom,tomato
grab some soda in the canteen,get,kitchen,soda
put back an orange,place,unknown,orange
go near the orange near the bathroom,go,bathroom,orange
find me the tomato inside the kitchen,get,kitchen,tomato
get a crackers close to the sitting room,get,living room,crackers
describe every detail crackers from the bathroom,describe,bathroom,crackers
would you tell cookies inside the sitting room,question,living room,cookies
search for some water,get,unknown,water
tidy up a crackers by the bathroom,place,bathroom,crackers
answer you tell banana,question,unknown,banana
move near the chips in the bath,go,bathroom,chips
clean the water close to the my room,place,bedroom,water
what are are the carrots in the bathroom,question,bathroom,carrots
go over to the vegetables,go,unknown,vegetables
proceed over by the living room,go,living room,unknown
tidy the water,place,unknown,water
drive near the sitting room,go,living room,unknown
retrieve some crackers inside the kitchen,get,kitchen,crackers
tell in details beverage,describe,unknown,beverage
bring the cookies close to the living room,get,living room,cookies
explain what you see orange in the living room,describe,living room,orange
put away a soda in the bedroom,place,bedroom,soda
report every detail banana around the parlor,describe,living room,banana
fetch the banana in the parlor,get,living room,banana
identify a vegetables near the kitchen,get,kitchen,vegetables
what are is the apple from the canteen,question,kitchen,apple
explain in details object around the canteen,describe,kitchen,unknown
head over to the water near the bath,go,bathroom,water
grab me some water,get,unknown,water
report everything you see item in the canteen,describe,kitchen,unknown
navigate to the soda from the parlor,go,living room,soda
could you do crackers,question,unknown,crackers
place a soda,place,unknown,soda
explain in details vegetables inside the sitting room,describe,living room,vegetables
express what you see item inside the parlor,describe,living room,unknown
navigate to the corn near the my room,go,bedroom,corn
go over by the chips by the canteen,go,kitchen,chips
answer are the vegetables close to the living room,question,living room,vegetables
clean up the tomato,place,unknown,tomato
explain everything you see soda from the my room,describe,bedroom,soda
head towards the banana by the sitting room,go,living room,banana
store an apple near the my room,place,bedroom,apple
pick up a crackers close to the living room,get,living room,crackers
clear a soda in the kitchen,place,kitchen,soda
head over by the orange from the bath,go,bathroom,orange
describe everything you see water,describe,unknown,water
throw out an item from the bath,place,bathroom,unknown
get a chips,get,unknown,chips
tidy a beverage from the bathroom,place,bathroom,beverage
throw out the apple close to the sitting room,place,living room,apple
put away the chips by the living room,place,living room,chips
move near the tuna in the bath,go,bathroom,tuna
tell what's there soda around the sitting room,describe,living room,soda
would you tell apple near the bedroom,question,bedroom,apple
throw away a beverage from the my room,place,bedroom,beverage
could you do peas near the parlor,question,living room,peas
describe what you see banana around the living room,describe,living room,banana
find me a banana close to the bath,get,bathroom,banana
proceed towards the crackers by the bath,go,bathroom,crackers
answer you do chips by the bedroom,question,bedroom,chips
bring some soda inside the living room,get,living room,soda
explain what you see banana,describe,unknown,banana
bring me some apple around the bedroom,get,bedroom,apple
where you do carrots from the bathroom,question,bathroom,carrots
move near the beverage in the bedroom,go,bedroom,beverage
get a tuna by the my room,get,bedroom,tuna
navigate by the soda around the bedroom,go,bedroom,soda
report every detail water by the bath,describe,bathroom,water
take the chips from the parlor,place,living room,chips
specify what's there water near the pantry,describe,kitchen,water
explain everything you see cookies inside the bathroom,describe,bathroom,cookies
what is you do cookies inside the bedroom,question,bedroom,cookies
tidy up a cookies around the sitting room,place,living room,cookies
get a beverage,get,unknown,beverage
navigate toward the sitting room,go,living room,unknown
grab some banana,get,unknown,banana
explain every detail beverage close to the pantry,describe,kitchen,beverage
identify the tomato close to the bathroom,get,bathroom,tomato
drive near the chips,go,unknown,chips
what are is the water around the bathroom,question,bathroom,water
store the banana by the bedroom,place,bedroom,banana
question is the beverage around the canteen,question,kitchen,beverage
get me the water inside the kitchen,get,kitchen,water
question you do cookies,question,unknown,cookies
proceed to the corn near the kitchen,go,kitchen,corn
what is you do peas in the canteen,question,kitchen,peas
describe everything you see tomato,describe,unknown,tomato
retrieve some beverage,get,unknown,beverage
where are the crackers from the my room,question,bedroom,crackers
clean up an object around the bedroom,place,bedroom,unknown
identify a soda around the bathroom,get,bathroom,soda
describe in details orange from the pantry,describe,kitchen,orange
what is you tell object in the living room,question,living room,unknown
what is are the banana around the kitchen,question,kitchen,banana
explain in details thing inside the my room,describe,bedroom,unknown
grab some thing around the parlor,get,living room,unknown
drive by the bath,go,bathroom,unknown
head toward the my room,go,bedroom,unknown
tidy up the water near the bath,place,bathroom,water
present what you see corn around the bedroom,describe,bedroom,corn
tidy the water around the sitting room,place,living room,water
drive near the beverage close to the pantry,go,kitchen,beverage
find an apple,get,unknown,apple
proceed by the chips by the kitchen,go,kitchen,chips
navigate by the water by the bedroom,go,bedroom,water
describe in details corn inside the pantry,describe,kitchen,corn
retrieve the tuna,get,unknown,tuna
go over by the corn,go,unknown,corn
clear away an item around the canteen,place,kitchen,unknown
clear away the soda near the sitting room,place,living room,soda
bring me some object near the kitchen,get,kitchen,unknown
tidy up a water from the parlor,place,living room,water
get me the corn near the sitting room,get,living room,corn
proceed towards the bath,go,bathroom,unknown
question you tell object close to the pantry,question,kitchen,unknown
what is is the water,question,unknown,water
explain what's there corn in the canteen,describe,kitchen,corn
where you tell carrots from the kitchen,question,kitchen,carrots
clean the crackers in the my room,place,bedroom,crackers
clear away a cookies inside the pantry,place,kitchen,cookies
clean up the soda,place,unknown,soda
specify every detail corn inside the bath,describe,bathroom,corn
specify everything you see beverage from the bathroom,describe,bathroom,beverage
move near the vegetables near the sitting room,go,living room,vegetables
describe every detail beverage,describe,unknown,beverage
proceed to the crackers,go,unknown,crackers
tidy up a banana from the bath,place,bathroom,banana
proceed near the crackers inside the living room,go,living room,crackers
clear away a cookies,place,unknown,cookies
take the soda close to the bath,place,bathroom,soda
fetch me the item around the living room,get,living room,unknown
where is the soda inside the parlor,question,living room,soda
bring the vegetables,get,unknown,vegetables
put back a cookies inside the bath,place,bathroom,cookies
locate a tuna in the my room,get,bedroom,tuna
proceed towards the beverage,go,unknown,beverage
place the orange near the bathroom,place,bathroom,orange
navigate by the bathroom,go,bathroom,unknown
move to the beverage,go,unknown,beverage
fetch me a cookies around the bath,get,bathroom,cookies
describe in details peas near the sitting room,describe,living room,peas
drive towards the beverage in the bedroom,go,bedroom,beverage
